"Raw Data File","tracer molecule","labelled positions","Abundance [%]",Injection,Replicate,"Incubation time [hours]","Metabolite name","CHEBI identifier","atomic positions of fragment","Empirical formula derivatized molecule/fragment","m/z monitored","signal intensity","isotopologue symbol","peaks abundances [%]"
RibHyp3_03.CDF,Glucose,"1,1,0,0,0,0",48,3,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,259,3728,m3,
RibHyp3_03.CDF,Glucose,"1,1,0,0,0,0",48,3,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,260,4185,m4,
RibHyp3_03.CDF,Glucose,"1,1,0,0,0,0",48,3,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,261,226,m5,
RibHyp3_03.CDF,Glucose,"1,1,0,0,0,0",48,3,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,262,-9,,
RibNat1_01.CDF,,natural,,1,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,255,525,,
RibNat1_01.CDF,,natural,,1,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,256,223362,m0,
RibNat1_01.CDF,,natural,,1,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,257,27470,m1,
RibNat1_01.CDF,,natural,,1,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,258,4695,m2,
RibNat1_01.CDF,,natural,,1,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,259,95,m3,
RibNat1_01.CDF,,natural,,1,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,260,281,m4,
RibNat1_01.CDF,,natural,,1,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,261,-118,m5,
RibNat1_01.CDF,,natural,,1,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,262,193,,
RibNat1_02.CDF,,natural,,2,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,255,569,,
RibNat1_02.CDF,,natural,,2,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,256,198530,m0,
RibNat1_02.CDF,,natural,,2,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,257,24525,m1,
RibNat1_02.CDF,,natural,,2,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,258,4189,m2,
RibNat1_02.CDF,,natural,,2,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,259,250,m3,
RibNat1_02.CDF,,natural,,2,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,260,265,m4,
RibNat1_02.CDF,,natural,,2,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,261,-64,m5,
RibNat1_02.CDF,,natural,,2,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,262,56,,
RibNat1_03.CDF,,natural,,3,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,255,505,,
RibNat1_03.CDF,,natural,,3,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,256,294494,m0,
RibNat1_03.CDF,,natural,,3,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,257,36204,m1,
RibNat1_03.CDF,,natural,,3,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,258,6012,m2,
RibNat1_03.CDF,,natural,,3,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,259,315,m3,
RibNat1_03.CDF,,natural,,3,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,260,453,m4,
RibNat1_03.CDF,,natural,,3,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,261,-65,m5,
RibNat1_03.CDF,,natural,,3,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,262,61,,
GlycHyp1_01.CDF,Glucose,"1,1,0,0,0,0",48,1,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,327,319,,
GlycHyp1_01.CDF,Glucose,"1,1,0,0,0,0",48,1,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,328,296556,m0,
GlycHyp1_01.CDF,Glucose,"1,1,0,0,0,0",48,1,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,329,49044,m1,
GlycHyp1_01.CDF,Glucose,"1,1,0,0,0,0",48,1,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,330,175153,m2,
GlycHyp1_01.CDF,Glucose,"1,1,0,0,0,0",48,1,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,331,24250,m3,
GlycHyp1_01.CDF,Glucose,"1,1,0,0,0,0",48,1,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,332,7182,m4,
GlycHyp1_01.CDF,Glucose,"1,1,0,0,0,0",48,1,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,333,927,m5,
GlycHyp1_01.CDF,Glucose,"1,1,0,0,0,0",48,1,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,334,127,m6,
GlycHyp1_01.CDF,Glucose,"1,1,0,0,0,0",48,1,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,335,127,,
GlycHyp1_02.CDF,Glucose,"1,1,0,0,0,0",48,2,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,327,275,,
GlycHyp1_02.CDF,Glucose,"1,1,0,0,0,0",48,2,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,328,150142,m0,
GlycHyp1_02.CDF,Glucose,"1,1,0,0,0,0",48,2,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,329,25044,m1,
GlycHyp1_02.CDF,Glucose,"1,1,0,0,0,0",48,2,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,330,91560,m2,
GlycHyp1_02.CDF,Glucose,"1,1,0,0,0,0",48,2,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,331,12715,m3,
GlycHyp1_02.CDF,Glucose,"1,1,0,0,0,0",48,2,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,332,3642,m4,
GlycHyp1_02.CDF,Glucose,"1,1,0,0,0,0",48,2,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,333,509,m5,
GlycHyp1_02.CDF,Glucose,"1,1,0,0,0,0",48,2,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,334,127,m6,
GlycHyp1_03.CDF,Glucose,"1,1,0,0,0,0",48,3,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,327,271,,
GlycHyp1_03.CDF,Glucose,"1,1,0,0,0,0",48,3,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,328,117356,m0,
GlycHyp1_03.CDF,Glucose,"1,1,0,0,0,0",48,3,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,329,19601,m1,
GlycHyp1_03.CDF,Glucose,"1,1,0,0,0,0",48,3,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,330,73884,m2,
GlycHyp1_03.CDF,Glucose,"1,1,0,0,0,0",48,3,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,331,10215,m3,
GlycHyp1_03.CDF,Glucose,"1,1,0,0,0,0",48,3,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,332,2877,m4,
